gameId,gameDate,gameType,gameMap,hero,winner,talents
53350714,05/09/2024 3:49:57 pm,Storm League,Braxis Holdout,Fenix,True,"[""Advanced Targeting"",""Target Acquired"",""Divert Power: Weapons"",""Planet Cracker"",""Auxiliary Shields"",""Arsenal Overcharge""]"
53072261,04/19/2024 10:53:27 pm,Storm League,Braxis Holdout,Fenix,False,"[""Mobile Offense"",""Target Acquired"",""Warp Warfare"",""Planet Cracker"",""Adanium Shell"",""Offensive Cadence"",""Singularity Charge""]"
53057053,04/18/2024 8:44:37 pm,Storm League,Volskaya Foundry,Fenix,True,"[""Mobile Offense"",""Target Acquired"",""Warp Warfare"",""Planet Cracker"",""Adanium Shell"",""Photonic Weaponry"",""Unconquered Spirit""]"
53192191,04/27/2024 9:40:36 pm,Storm League,Battlefield of Eternity,Blaze,True,"[""Adrenaline Stimpack"",""Incinerator Gauntlets"",""Fuel Leak"",""Bunker Drop"",""Collision Course"",""Thermal Protection""]"
53059110,04/18/2024 10:26:34 pm,Storm League,Dragon Shire,Blaze,True,"[""Adrenaline Stimpack"",""Incinerator Gauntlets"",""Suppressive Fire"",""Bunker Drop"",""Collision Course"",""Thermal Protection"",""Fortified Bunker""]"
53331400,05/07/2024 11:10:16 pm,Storm League,Braxis Holdout,Zul'jin,False,"[""Boneslicer"",""Voodoo Shuffle"",""Vicious Assault"",""Taz'dingo!"",""Ensnare"",""No Mercy!"",""Amani Resilience""]"
53217697,04/30/2024 11:54:00 am,Storm League,Volskaya Foundry,Zul'jin,False,"[""Recklessness"",""Amani Hide"",""Arcanite Axes"",""Taz'dingo!"",""Eye of Zul'jin"",""Let the Killing Begin"",""Amani Resilience""]"
53072996,04/20/2024 12:59:01 am,Storm League,Alterac Pass,Zul'jin,False,"[""Recklessness"",""Amani Hide"",""Arcanite Axes"",""Taz'dingo!"",""Eye of Zul'jin"",""Let the Killing Begin""]"
53164206,04/26/2024 2:55:42 pm,Storm League,Braxis Holdout,Tyrael,False,"[""Ardent Restoration"",""Divine Vigor"",""Purge Evil"",""Judgment"",""Sword of Justice"",""Burning Halo"",""Seal of El'Druin""]"
53317942,05/07/2024 12:00:47 am,Storm League,Towers of Doom,Tracer,True,"[""One-Two Punch"",""Pulse Generator"",""Locked and Loaded"",""Pulse Rounds"",""Jumper"",""Ricochet""]"
